epoch,score,best_score,mode,action,target_layer,target_block,target_step,reason,growth_detail,step_score,depth_score,width_score,primitive_score,prune_score,repair_category_score,descriptor_repair_score,soft_prune_score,category_consistency,expected_cost,alive_mean,cost_weight,alive_weight,semantic_weight,semantic_mass,residual_only_ratio,seconds,train_block_mse,train_block_cos,train_delta_mse,train_delta_cos,train_norm_mse,train_norm_cos,val_block_mse,val_block_cos,val_delta_mse,val_delta_cos,val_norm_mse,val_norm_cos
12,0.10697691076000532,0.10697691076000532,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891635596752167,0.8198229074478149,0.0,0.0,0.00037037037037037035,0.9122931957244873,0.08400477468967438,18.981333017349243,0.11554356950024763,0.9690767457087834,0.11554356987277667,0.9114756544431051,0.030318897015725575,0.984724813203017,0.11534374617040158,0.9692775011062622,0.11534374691545964,0.9116975456476212,0.02991700991988182,0.9849289178848266
13,0.10749994314958652,0.10749994314958652,WAIT,noop,-1,-1,-1,normal,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882190942764282,0.8195440769195557,0.0,0.0,0.000864197530864197,0.909292995929718,0.08675559610128403,18.926024675369263,0.11504089677085479,0.969214620689551,0.11504089677085479,0.9118706946571667,0.02987351242142419,0.9849509204427401,0.11480631157755852,0.9694045722484589,0.11480631195008754,0.9120739310979843,0.02957306373864412,0.9851034224033356
14,0.1079583439951142,0.1079583439951142,GROW,add_width,0,2,1,plateau_cleanup_planner,activated_block_4_in_layer_0,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.08525972068309784,0.2879473567008972,0.8193291425704956,0.0,0.0,0.0013580246913580249,0.9071061611175537,0.08688803017139435,19.336720943450928,0.1144942165662845,0.9693424309293429,0.11449421675254902,0.9123356486360232,0.02944051131295661,0.9851706837614377,0.11432459466159343,0.9695309102535248,0.11432459466159343,0.9124321848154068,0.029162679426372053,0.9853117346763611
15,0.10877567152182263,0.10877567152182263,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.0,0.28867584466934204,0.8189065456390381,0.0,0.0,0.0018518518518518517,0.9063202142715454,0.08894649147987366,20.535862684249878,0.11392572950571775,0.969501061240832,0.1139257291952769,0.9127770200371742,0.029073292451600233,0.9853570635120074,0.11328309774398804,0.9695385456085205,0.11328309699892998,0.9133283823728562,0.028864753991365434,0.9854628562927246
16,0.11011112289006511,0.11011112289006511,WAIT,noop,-1,-1,-1,normal,none,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.0,0.2875182032585144,0.8187612295150757,0.0,0.0,0.0023456790123456794,0.9018024206161499,0.09421597421169281,19.354162216186523,0.11267677924285333,0.9698125839233398,0.11267677942911784,0.9138056506713231,0.028735294239595532,0.9855285321672758,0.11168822348117828,0.970038902759552,0.11168822310864926,0.9145371973514557,0.02850348437204957,0.9856460839509964
17,0.1108881256580353,0.1108881256580353,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.0,0.2845420241355896,0.8184735774993896,0.0,0.0,0.002839506172839506,0.893440842628479,0.10325600951910019,19.185206651687622,0.1114834572498997,0.97008396089077,0.11148345768451691,0.9147368823488553,0.02844802029430866,0.9856742372115453,0.1108247272670269,0.9703861713409424,0.11082472763955593,0.9152506619691849,0.02820579819381237,0.9857971370220184
18,0.11247239434346558,0.11247239434346558,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.0,0.27970796823501587,0.8182426691055298,0.0,0.0,0.0033333333333333344,0.865511417388916,0.1301088184118271,19.012872457504272,0.11005981645236412,0.970462707678477,0.11005981639027596,0.9158451835314433,0.027994787134230138,0.9859041025241216,0.10904959961771965,0.9707462370395661,0.10904959999024869,0.9166386991739273,0.02781428163871169,0.9859956741333008
19,0.11388370753452183,0.11388370753452183,WAIT,noop,-1,-1,-1,normal,none,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.0,0.2784222960472107,0.818088173866272,0.0,0.0,0.003827160493827161,0.8650484681129456,0.13116729259490967,18.709662437438965,0.10833428762853145,0.9708768298228582,0.10833428756644328,0.9172245527307192,0.02772601225102941,0.986040378610293,0.10746962577104568,0.9710171788930893,0.10746962651610374,0.9178898483514786,0.027438229974359275,0.9861862868070602
20,0.11492336629579465,0.11492336629579465,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.0,0.27832263708114624,0.8180950880050659,0.0,0.0,0.004320987654320987,0.85732102394104,0.13591472804546356,19.04872417449951,0.10701357455303272,0.9712162698308627,0.10701357455303272,0.9183108945687611,0.027295948114867012,0.9862584148844084,0.10639947392046452,0.9712543755769729,0.10639947317540646,0.9188701629638671,0.02690700236707926,0.9864555537700653
21,0.11535893807808559,0.11535893807808559,WAIT,noop,-1,-1,-1,normal,none,0.12143801007321847,0.28788519720044303,0.3581858145873425,-0.14713026981406369,-999.0,0.13878834072673574,0.16975182687769733,0.05113074103001466,0.0,0.2774060368537903,0.8181097507476807,0.0,0.0,0.004814814814814816,0.8550723791122437,0.13869427144527435,19.367375373840332,0.10605625665436189,0.9714644446969032,0.10605625702689091,0.919075200955073,0.026912775759895643,0.9864526773492496,0.10586909241974354,0.971528896689415,0.10586909279227256,0.9191755592823029,0.026826167479157448,0.9864965945482254
22,0.11619507202009362,0.11619507202009362,GROW,add_depth,1,3,1,plateau_cleanup_planner,activated_layer_4_at_order_2_ref_2,0.1571746323029064,0.3689115696904386,0.3535872430290051,-0.14933826456290264,-999.0,0.1587097636123567,0.1883501418521473,0.05242625897165408,0.035196129232645035,0.27724331617355347,0.8181002736091614,0.0,0.0,0.005308641975308642,0.850289523601532,0.14299048483371735,19.20891261100769,0.1054116283232967,0.9716300656398137,0.10541162826120853,0.919575734436512,0.026614771333212654,0.9866036867101987,0.10497988238930703,0.9717545360326767,0.10497988276183605,0.9198722958564758,0.026351840049028397,0.9867368549108505
23,0.11633448545013866,0.11633448545013866,WAIT,noop,-1,-1,-1,normal,none,0.1571746323029064,0.3689115696904386,0.3535872430290051,-0.14933826456290264,-999.0,0.1587097636123567,0.1883501418521473,0.05242625897165408,0.0,0.28287723660469055,0.8169074058532715,4.761904761904745e-05,0.0,0.005802469135802469,0.868264377117157,0.125250443816185,22.72993755340576,0.10546793571362893,0.9715966363747914,0.10546793527901173,0.9195133656263351,0.026766325704132517,0.986526902516683,0.10443152897059918,0.9718928128480911,0.1044315293431282,0.9203344017267228,0.02621932150796056,0.9868040442466736
24,0.11668428202966849,0.11668428202966849,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.1571746323029064,0.3689115696904386,0.3535872430290051,-0.14933826456290264,-999.0,0.1587097636123567,0.1883501418521473,0.05242625897165408,0.0,0.28267207741737366,0.8167825937271118,0.00014285714285714284,0.0,0.006296296296296296,0.8653624653816223,0.12838223576545715,22.35262107849121,0.10433760682741801,0.9719133704900742,0.10433760701368253,0.9204386884967486,0.02607202815512816,0.9868786479036014,0.10406719595193863,0.9719025731086731,0.1040671955794096,0.9206673979759217,0.02588566839694977,0.9869730830192566
25,0.11711129208654165,0.11711129208654165,WAIT,noop,-1,-1,-1,normal,none,0.1571746323029064,0.3689115696904386,0.3535872430290051,-0.14933826456290264,-999.0,0.1587097636123567,0.1883501418521473,0.05242625897165408,0.0,0.28369030356407166,0.8166034817695618,0.0002380952380952382,4.761904761904745e-06,0.006790123456790125,0.866689145565033,0.1256513148546219,22.109825134277344,0.10388361575702826,0.9720283140738805,0.10388361581911644,0.9207636957367261,0.02577410489320755,0.9870296070973078,0.10356635637581349,0.9719891309738159,0.10356635563075542,0.9210453778505325,0.025653682462871075,0.9870905548334121
26,0.11723561498895288,0.11723561498895288,GROW,add_width,1,2,1,plateau_cleanup_planner,activated_block_4_in_layer_1,0.1451263210778086,0.2511134309694628,0.3445947724634506,-0.1643860389138572,-999.0,0.15800830170237765,0.18988320603993045,0.04950543311256612,0.0378296822309494,0.2838784158229828,0.8163993954658508,0.0003333333333333331,2.3809523809523722e-05,0.00728395061728395,0.867414653301239,0.12452533096075058,23.245028734207153,0.10339275014897188,0.972137079636256,0.1033927496522665,0.9211531678835551,0.025527817305798332,0.9871542861064275,0.10346564427018165,0.9719739407300949,0.10346564427018165,0.9210903644561768,0.0254595291800797,0.987188920378685
27,0.11787898533294598,0.11787898533294598,WAIT,noop,-1,-1,-1,normal,none,0.1451263210778086,0.2511134309694628,0.3445947724634506,-0.1643860389138572,-999.0,0.15800830170237765,0.18988320603993045,0.04950543311256612,0.0,0.2832908630371094,0.8158195614814758,0.0004285714285714285,4.28571428571428e-05,0.007777777777777778,0.861862301826477,0.1303173303604126,23.03051495552063,0.10325933924565713,0.9721631750464439,0.10325933968027433,0.9212673813104629,0.025351768266409634,0.9872434690594674,0.10279118567705155,0.9723174512386322,0.10279118530452251,0.921557891368866,0.025223000161349773,0.9873086124658584
28,0.11816964087759456,0.11816964087759456,EXPLORE,descriptor_repair,4,0,1,plateau_cleanup_planner,"descriptor_repair_L4B0_steps_1_ops_residual_repair,delta_route,normalize",0.23036767612304954,0.2507720301081039,0.32762003636076337,-0.2511786342890118,-999.0,0.2050470115719516,0.34672216894315044,0.12348224475253594,0.0448528453707695,0.28328561782836914,0.8155614137649536,0.0005238095238095238,6.190476190476187e-05,0.008271604938271606,0.8578227162361145,0.13427720963954926,22.997942209243774,0.10284728618959586,0.9722803930441538,0.10284728600333135,0.921639832854271,0.02507586566110452,0.9873832121491433,0.10253600776195526,0.9724174767732621,0.10253600738942623,0.9218017488718033,0.02494714828208089,0.987448301911354
29,0.11789460264767211,0.11816964087759456,WAIT,noop,-1,-1,-1,normal,none,0.23036767612304954,0.2507720301081039,0.32762003636076337,-0.2511786342890118,-999.0,0.2050470115719516,0.34672216894315044,0.12348224475253594,0.0,0.2820332646369934,0.8152737617492676,0.0006190476190476193,8.095238095238093e-05,0.008765432098765435,0.8506380319595337,0.14057965576648712,23.261356353759766,0.10253668092191219,0.9723593865831693,0.10253668054938317,0.9218748132387797,0.024841071059927344,0.9875020836790402,0.10284770280122757,0.9722890824079513,0.10284770205616951,0.9215762585401535,0.025032669957727193,0.9874050408601761
30,0.11855831289043031,0.11855831289043031,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,0.23036767612304954,0.2507720301081039,0.32762003636076337,-0.2511786342890118,-999.0,0.2050470115719516,0.34672216894315044,0.12348224475253594,0.0,0.2806706428527832,0.8150057196617126,0.0007142857142857142,9.999999999999994e-05,0.009259259259259259,0.8425827026367188,0.14986686408519745,23.469264268875122,0.10224983934313059,0.9724345872799556,0.10224983971565962,0.9221214786171913,0.024653183358410994,0.9875971252719561,0.10213373377919197,0.9723328858613968,0.10213373377919197,0.9221767604351043,0.02453944105654955,0.9876546889543534
31,0.11823655390739442,0.11855831289043031,WAIT,noop,-1,-1,-1,normal,none,0.23036767612304954,0.2507720301081039,0.32762003636076337,-0.2511786342890118,-999.0,0.2050470115719516,0.34672216894315044,0.12348224475253594,0.0,0.2806822955608368,0.8147028088569641,0.0008095238095238095,0.000119047619047619,0.009753086419753088,0.837965190410614,0.15307442843914032,22.810311317443848,0.10203067635496457,0.9724885250131289,0.10203067598243555,0.9222798625628154,0.024506916633496682,0.9876711711287498,0.10250009633600712,0.972446271777153,0.102500094845891,0.9218507677316665,0.024703118950128555,0.9875718206167221
32,0.11879859429597855,0.11879859429597855,EXPLORE,descriptor_repair,4,0,1,plateau_cleanup_planner,"descriptor_repair_L4B0_steps_1_ops_residual_repair,delta_route,normalize",-0.03636402646303025,-0.6619062224096284,-0.5765790010531716,-0.26675256318040197,-999.0,0.28404874161755134,0.487360818234555,0.22179509905135797,0.04748021438717842,0.2792993187904358,0.8144167065620422,0.0009047619047619048,0.00013809523809523808,0.01,0.8318538665771484,0.15818674862384796,22.900043487548828,0.10178354910264413,0.9725506767630577,0.10178354910264413,0.9224653815229734,0.024390160121644536,0.9877302323778471,0.10184863060712815,0.9724776744842529,0.10184863060712815,0.9223804175853729,0.024396829307079315,0.98772691488266
33,0.11917463735366862,0.11917463735366862,WAIT,noop,-1,-1,-1,normal,none,-0.03636402646303025,-0.6619062224096284,-0.5765790010531716,-0.26675256318040197,-999.0,0.28404874161755134,0.487360818234555,0.22179509905135797,0.0,0.2795107960700989,0.8141040802001953,0.0009999999999999998,0.00015714285714285708,0.01,0.8240707516670227,0.16520963609218597,23.078638315200806,0.10154326601574819,0.9726183255513509,0.10154326626410087,0.9226750895380974,0.024288632767274977,0.9877816547950109,0.10142662599682808,0.9726223468780517,0.10142662562429905,0.9227696657180786,0.02418971499428153,0.9878317326307297
34,0.11891523494447273,0.11917463735366862,EXPLORE,descriptor_repair,4,0,1,plateau_cleanup_planner,"descriptor_repair_L4B0_steps_1_ops_residual_repair,delta_route,normalize",-0.03148424576951689,-0.6655428024949304,-0.5780663982869028,-0.2729998844636139,-999.0,0.28394014058783373,0.48778412514302505,0.22135825245923174,0.047634486109018326,0.2767169773578644,0.8138147592544556,0.0010952380952380953,0.0001761904761904761,0.01,0.8094390034675598,0.17818288505077362,22.739539623260498,0.1012442543481787,0.9726757392287254,0.10124425428609053,0.9228837584455808,0.024180426045010486,0.9878364120920499,0.10163315162062644,0.9724297821521759,0.10163315124809742,0.9225347816944123,0.024325513374060394,0.9877629220485687
35,0.11955892521515489,0.11955892521515489,WAIT,noop,-1,-1,-1,normal,none,-0.03148424576951689,-0.6655428024949304,-0.5780663982869028,-0.2729998844636139,-999.0,0.28394014058783373,0.48778412514302505,0.22135825245923174,0.0,0.2741944193840027,0.8135223388671875,0.0011904761904761906,0.0001952380952380952,0.01,0.7915201187133789,0.1952264904975891,23.22486186027527,0.10094337395081918,0.9727533842126529,0.10094337382664283,0.9231120144327482,0.024084169091656803,0.987885111073653,0.10082238093018532,0.9727295875549317,0.10082238093018532,0.9232346892356873,0.024069166649132966,0.9878926455974579
36,0.11968622029200197,0.11968622029200197,EXPLORE,descriptor_repair,3,0,1,plateau_cleanup_planner,"descriptor_repair_L3B0_steps_1_ops_residual_repair,delta_route,normalize",-0.02111631267821576,-0.7052457215651367,-0.5973283223797659,-0.2959428102921229,-999.0,0.28113710867936326,0.48762623742218486,0.21485449159486153,0.05434679985046387,0.27369076013565063,0.8132902979850769,0.001285714285714286,0.00021428571428571427,0.01,0.7731790542602539,0.21233610808849335,23.29523777961731,0.10054427596429984,0.9728569358587265,0.10054427639891704,0.9233920693397522,0.02398716486059129,0.9879341930150985,0.10054688453674317,0.9729615688323975,0.10054688490927219,0.9234231323003769,0.024073678348213435,0.9878904163837433
37,0.12037244580561918,0.12037244580561918,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,-0.02111631267821576,-0.7052457215651367,-0.5973283223797659,-0.2959428102921229,-999.0,0.28113710867936326,0.48762623742218486,0.21485449159486153,0.0,0.2699263393878937,0.8132416009902954,0.001380952380952381,0.00023333333333333325,0.01,0.7416343092918396,0.24684210121631622,23.256136655807495,0.10012801494449378,0.9729580000042916,0.10012801444778839,0.923784597714742,0.02393815453785161,0.9879589741428693,0.09953598640859126,0.9731898546218872,0.09953598752617836,0.9242328613996506,0.023789762053638697,0.9880340099334717
38,0.12092954067885876,0.12092954067885876,WAIT,noop,-1,-1,-1,normal,none,-0.02111631267821576,-0.7052457215651367,-0.5973283223797659,-0.2959428102921229,-999.0,0.28113710867936326,0.48762623742218486,0.21485449159486153,0.0,0.2690459191799164,0.8133509755134583,0.0014761904761904762,0.00025238095238095233,0.01,0.7052674293518066,0.28307706117630005,23.26741313934326,0.09903868486483892,0.9732093587517738,0.09903868498901526,0.9246661409735679,0.023834535169104734,0.9880113999048868,0.09861953184008598,0.973250663280487,0.09861953221261502,0.9248843550682068,0.023830858618021013,0.9880132228136063
39,0.12192647867649795,0.12192647867649795,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,-0.02111631267821576,-0.7052457215651367,-0.5973283223797659,-0.2959428102921229,-999.0,0.28113710867936326,0.48762623742218486,0.21485449159486153,0.0,0.26705724000930786,0.8132344484329224,0.0015,0.0002714285714285714,0.01,0.6876696944236755,0.3011598587036133,22.970903873443604,0.09760950362930695,0.973497349023819,0.09760950381557147,0.9257452378670374,0.023783403138319652,0.988037250439326,0.09729911871254444,0.9736160516738892,0.09729911908507347,0.9260190069675446,0.023825629986822604,0.9880158603191376
40,0.12254913678765299,0.12254913678765299,WAIT,noop,-1,-1,-1,normal,none,-0.02111631267821576,-0.7052457215651367,-0.5973283223797659,-0.2959428102921229,-999.0,0.28113710867936326,0.48762623742218486,0.21485449159486153,0.0,0.2688588798046112,0.8130589723587036,0.0015,0.0002904761904761904,0.01,0.6930192708969116,0.295297771692276,23.305541276931763,0.09668373055756092,0.9737226352095604,0.09668373055756092,0.9264937688906988,0.023647618681813278,0.988105941315492,0.09648008719086647,0.9737512111663819,0.09648008644580841,0.9266076266765595,0.023691830039024354,0.9880834966897964
41,0.12308584180598459,0.12308584180598459,EXPLORE,descriptor_repair,3,3,1,plateau_cleanup_planner,"descriptor_repair_L3B3_steps_1_ops_residual_repair,delta_route,normalize",-0.08358369657369,-0.6935320751121683,-0.6371475059229823,-0.2314328205601778,-999.0,0.29065606044139897,0.4869458430298559,0.21129049492499144,0.029273439198732376,0.2682107985019684,0.8129411935806274,0.0015,0.0003,0.01,0.706688642501831,0.28424182534217834,23.305266857147217,0.09587709382176399,0.9739074096083641,0.09587709375967582,0.9270974149306616,0.023513069888576866,0.9881739849845569,0.09571045748889447,0.9739474266767502,0.09571045823395252,0.9272940427064895,0.023590737488120794,0.9881347060203552
42,0.12391429682572683,0.12391429682572683,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,-0.08358369657369,-0.6935320751121683,-0.6371475059229823,-0.2314328205601778,-999.0,0.29065606044139897,0.4869458430298559,0.21129049492499144,0.0,0.27041035890579224,0.8128914833068848,0.0015,0.0003,0.01,0.7115689516067505,0.2777753472328186,23.106418132781982,0.0951571230466167,0.9740693946679433,0.09515712317079306,0.9276737044254939,0.02347711940916876,0.9881921301285426,0.09467490054666997,0.9741593331098557,0.09467490091919899,0.9281032651662826,0.02328230030834675,0.9882907062768936
43,0.12444053594022991,0.12444053594022991,WAIT,noop,-1,-1,-1,normal,none,-0.08358369657369,-0.6935320751121683,-0.6371475059229823,-0.2314328205601778,-999.0,0.29065606044139897,0.4869458430298559,0.21129049492499144,0.0,0.27093610167503357,0.8127738833427429,0.0015,0.0003,0.01,0.721021831035614,0.26739078760147095,22.699912071228027,0.09430277229597171,0.9742847512165705,0.09430277248223623,0.9283921206990878,0.023344080584744614,0.9882594620188078,0.09391710832715035,0.9744664043188095,0.09391710832715035,0.9287157386541367,0.023342698998749255,0.988260167837143
44,0.12527090080579123,0.12527090080579123,EXPLORE,descriptor_repair,3,3,1,plateau_cleanup_planner,"descriptor_repair_L3B3_steps_1_ops_residual_repair,normalize,delta_route",-0.12668213797625585,-0.7039859713691674,-0.6575139679502607,-0.1920830049624201,-999.0,0.29290360561874973,0.48368964624756405,0.2117771959783249,0.02352798730134964,0.270652711391449,0.8126663565635681,0.0015,0.0003,0.01,0.7228677272796631,0.2660447657108307,22.85393500328064,0.09341898548106352,0.9744965518514316,0.09341898523271083,0.9290811498959859,0.023145274600634973,0.9883600135644277,0.09291360378265381,0.9745041996240615,0.09291360452771187,0.9294468075037002,0.023042797297239303,0.9884119153022766
45,0.12571047663316132,0.12571047663316132,EXPLOIT,sharpen,-1,-1,-1,significant_best,none,-0.12668213797625585,-0.7039859713691674,-0.6575139679502607,-0.1920830049624201,-999.0,0.29290360561874973,0.48368964624756405,0.2117771959783249,0.0,0.2729478180408478,0.8125547766685486,0.0015,0.0003,0.01,0.7288970947265625,0.2618505656719208,22.862156629562378,0.09263862663259109,0.9746752286950747,0.09263862657050291,0.9296643435955048,0.022988087420041364,0.9884395519892375,0.09245581477880478,0.9747875154018402,0.09245581477880478,0.9298305153846741,0.022870322596281766,0.9884991347789764
