epoch,train_loss,train_mse,train_cos,val_mse,val_cos,score,best_score,mode,action,reward,category_temp,primitive_temp,seconds
12,0.00727329875032107,0.00646728475112468,0.9967759440342585,0.006151723186485469,0.9969373762607574,0.2157724178628996,0.2157724178628996,WAIT,noop,7.687800563868641e-05,0.8500000000000001,0.7999999999999999,11.124380826950073
13,0.006989435397554189,0.006214829080272466,0.9969015747308732,0.006302480539306998,0.9968532443046569,0.21560191527940334,0.2157724178628996,EXPLORE,boost_l2_memory,-0.00017050258349626812,0.8500000000000001,0.7999999999999999,11.113567113876343
14,0.006738328111047546,0.005991589821254213,0.9970130468408267,0.006072490871883929,0.9969684511423111,0.21574542754795403,0.2157724178628996,WAIT,noop,0.000143512268550694,0.8500000000000001,0.7999999999999999,11.081846714019775
15,0.006559983838815242,0.005833199321447561,0.9970928619305293,0.005710810236632824,0.997149521112442,0.21631162900477646,0.21631162900477646,EXPLORE,boost_l2_repair,0.0005662014568224294,0.8500000000000001,0.7999999999999999,11.147472381591797
16,0.006382907189739247,0.005675678832146028,0.9971710865696272,0.0054547312669456,0.9972791016101837,0.21623843820765615,0.21631162900477646,WAIT,noop,-7.319079712031495e-05,0.8500000000000001,0.7999999999999999,11.112682104110718
17,0.0061812792904675,0.005496247081706921,0.9972598711649577,0.0056247639702633025,0.9971936702728271,0.21590420960914347,0.21631162900477646,EXPLORE,boost_l1_compare,-0.00033422859851267583,0.8500000000000001,0.7999999999999999,11.219520807266235
18,0.006059931587272634,0.005388251315647115,0.997313278913498,0.005344963981769979,0.9973554462194443,0.21604739396367223,0.21631162900477646,WAIT,noop,0.0001431843545287581,0.8500000000000001,0.7999999999999999,11.026289701461792
19,0.0059080271050333975,0.005253293178975582,0.9973810642957688,0.0051334881456568835,0.9974377751350403,0.21601193371694535,0.21631162900477646,EXPLORE,boost_aggregate_memory,-3.546024672687609e-05,0.8500000000000001,0.7999999999999999,10.873648881912231
20,0.005813642354526868,0.005169320242324223,0.9974227115511894,0.005160582321695984,0.9974310517311096,0.21577484999317678,0.21631162900477646,WAIT,noop,-0.0002370837237685719,0.8500000000000001,0.7999999999999999,10.974830627441406
21,0.0056403026644450925,0.005015233349210272,0.9974997227390607,0.00600102252792567,0.9970148503780365,0.21489344828296456,0.21631162900477646,EXPLORE,sharpen_exploit,-0.0008814017102122262,0.55,0.6,11.068114995956421
22,0.005601497956862053,0.004981563830127319,0.9975202634930611,0.004950302978977561,0.9975293010473252,0.2163387338910252,0.2163387338910252,WAIT,noop,0.001445285608060648,0.55,0.6,10.958664178848267
23,0.005454895226284862,0.004850489847982923,0.9975823784867922,0.004758404777385294,0.9976256042718887,0.2163733515283093,0.2163733515283093,EXPLORE,reduce_priors,3.4617637284101166e-05,0.55,0.6,10.888408184051514
24,0.005353653842272858,0.004760349829060336,0.9976267839471499,0.004515453474596143,0.9977472513914108,0.21642936418764297,0.21642936418764297,WAIT,noop,5.601265933366517e-05,0.55,0.6,10.863121032714844
25,0.005253550666384399,0.004671404394321144,0.9976714149117469,0.004697690904140473,0.9976577460765839,0.21625632733106617,0.21642936418764297,EXPLORE,explore_categories,-0.00017303685657679702,0.75,0.7,10.900089502334595
26,0.005177434355330964,0.004604054312221706,0.997706479827563,0.004413235676474869,0.9977998524904251,0.21647925685625527,0.21647925685625527,WAIT,noop,0.00022292952518909726,0.75,0.7,10.84908390045166
27,0.0050888618687167765,0.004525331244803965,0.9977458775043487,0.0043726115953177215,0.9978219568729401,0.21660695974715058,0.21660695974715058,EXPLORE,boost_l2_memory,0.00012770289089530928,0.75,0.7,11.22119951248169
28,0.0049302932806313034,0.004384249045203129,0.9978158230582873,0.004316989029757678,0.9978488624095917,0.21644056335557252,0.21660695974715058,WAIT,noop,-0.00016639639157806085,0.75,0.7,11.148898124694824
29,0.004851974950482448,0.00431477293993036,0.9978511919577916,0.004176250076852739,0.9979173541069031,0.2164688092703,0.21660695974715058,EXPLORE,boost_l2_repair,2.824591472747051e-05,0.75,0.7,11.243022203445435
30,0.00475114102785786,0.0042249975415567555,0.9978954260547955,0.004093594034202397,0.9979598909616471,0.21648519806098196,0.21660695974715058,WAIT,noop,1.638879068197041e-05,0.75,0.7,11.359402894973755
